source,target,Weight
"Abbas,James","Abbas,James",6.590
"Abbas,James","Boggess,May",5.301
"Abbas,James","Honeycutt,Claire",5.364
"Abbas,James","Lockhart,Thurmon Eddy",5.188
"Abbaszadegan,Morteza","Abbaszadegan,Morteza",5.362
"Abbaszadegan,Morteza","Alum,Absar",4.176
"Abbott,David Ralph","Abbott,David Ralph",4.429
"Abbott,Joshua K","Abbott,Joshua K",6.319
"Abdelmonem,Angie","Adelman,Madelaine Beth",5.305
"Abry,Tashia","Abry,Tashia",5.799
"Abry,Tashia","Duggan,Mary Anne",5.146
"Abry,Tashia","Fabes,Richard Allen",5.544
"Abry,Tashia","Wilkens,Natalie Desrochers",5.447
"Adams,James Brewster","Adams,James Brewster",5.897
"Adams,James Brewster","Krajmalnik-Brown,Rosa",5.714
"Adams,Jeffrey M","Adams,Jeffrey M",4.986
"Adams,Marc Anthony","Adams,Marc Anthony",4.885
"Adrian,Ronald John","Adrian,Ronald John",5.297
"Adrian,Ronald John","Peet,Yulia V",5.297
"Agusdinata,Buyung","Agusdinata,Buyung",5.469
"Ahn,Gail-Joon","Ahn,Gail-Joon",6.116
"Ahn,Gail-Joon","Doupe,Adam",5.599
"Ahn,Gail-Joon","Huang,Dijiang",5.599
"Ainsworth,Barbara Ellen","Ainsworth,Barbara Ellen",4.903
"Alarcon,Ricardo O","Alarcon,Ricardo O",5.897
"Alford,Eddie Jim","Alford,Eddie Jim",4.256
"Alford,Eddie Jim","Green,Douglas Mitchell",4.256
"Alford,Terry Lynn","Alford,Terry Lynn",5.015
"Allee,David Ray","Allee,David Ray",5.782
"Allen,Daniel","Allen,Daniel",5.699
"Allen,James Paul","Allen,James Paul",5.983
"Allen,James Paul","Chen,Julian J-L",5.326
"Allen,James Paul","Williams,Joann Clara",5.440
"Amazeen,Eric","Amazeen,Eric",5.450
"Amazeen,Eric","Brewer Jr,Gene",5.450
"Amdam,Gro Vang","Amdam,Gro Vang",5.666
"Ames,Victoria E","Ames,Victoria E",6.391
"Amparano,Julie A","Amparano,Julie A",3.699
"Amresh,Ashish","Amresh,Ashish",5.581
"Amresh,Ashish","Bansal,Srividya Kona",5.173
"Amresh,Ashish","Craig,Scotty Dale",5.173
"Amresh,Ashish","Sohoni,Sohum Ashok",5.173
"Anbar,Ariel David","Anbar,Ariel David",5.702
"Anderies,John M","Anderies,John M",5.578
"Anderies,John M","Breetz,Hanna Lori",5.398
"Anderies,John M","Janssen,Marcus Alexander",5.398
"Anderies,John M","Rodriguez,Armando A",5.398
"Anderson,James R","Anderson,James R",6.069
"Anderson,James R","Calhoun,Ronald Joseph",5.092
"Anderson,James R","Chhetri,Nalini",5.450
"Anderson,James R","Crozier,Peter",5.124
"Anderson,James R","Runger,George",5.092
"Anderson,Karen S","Anderson,Karen S",6.804
"Anderson,Karen S","Blain Christen,Jennifer Mary",6.357
"Anderson,Karen S","Borges,Chad Randolph",4.433
"Anderson,Karen S","Goryll,Michael",5.172
"Anderson,Karen S","Wilson Sayres,Melissa A",4.097
"Andino,Jean M","Andino,Jean M",4.992
"Angadi,Siddhartha Subhashchand","Angadi,Siddhartha Subhashchand",6.030
"Angadi,Siddhartha Subhashchand","Dickinson,Jared M",6.027
"Angadi,Siddhartha Subhashchand","Gaesser,Glenn Alan",5.420
"Angadi,Siddhartha Subhashchand","Lee,Chong Do",5.420
"Angell,Charles Austen","Angell,Charles Austen",4.441
"Angilletta,Michael","Angilletta,Michael",5.691
"Angilletta,Michael","Kusumi,Kenro",5.083
"Anokye,Akua D","Anokye,Akua D",4.711
"Anokye,Akua D","Murphy Erfani,Julie Ann",4.535
"Anselin,Luc E","Anselin,Luc E",4.161
"Ariaratnam,Samuel T","Ariaratnam,Samuel T",4.556
"Arrowsmith,Ramon","Arrowsmith,Ramon",5.688
"Artemiadis,Panagiotis K.","Artemiadis,Panagiotis K.",6.727
"Artiles,Alfredo","Artiles,Alfredo",4.574
"Artiles,Alfredo","Dorn,Sherman J",4.097
"Ashcraft,Robert F","Ashcraft,Robert F",5.607
"Ashford,Jose Barry","Ashford,Jose Barry",5.217
"Askin,Ronald Gene","Askin,Ronald Gene",4.477
"Asphaug,Erik","Adamson,Eric Thomas",5.746
"Asphaug,Erik","Asphaug,Erik",6.098
"Asphaug,Erik","Barnaby,Hugh James",5.348
"Asphaug,Erik","Chattopadhyay,Aditi",5.070
"Asphaug,Erik","Chawla,Nikhilesh",5.070
"Asphaug,Erik","Garvie,Laurence A J",5.070
"Asphaug,Erik","Rhoden,Alyssa Rose",5.089
"Asphaug,Erik","Scowen,Paul Andrew",5.524
"Asphaug,Erik","Thangavelautham,Jekanthan",5.746
"Atkinson,Robert Kenneth","Atkinson,Robert Kenneth",5.578
"Atkinson,Robert Kenneth","Hess,Aaron R",5.840
"Atkinson,Robert Kenneth","Runger,George",5.255
"Aukes,Daniel Mcconnell","Aukes,Daniel Mcconnell",5.783
"Aviles-Santiago,Manuel Gerardo","Aviles-Santiago,Manuel Gerardo",4.653
"Axel,Joseph B","Axel,Joseph B",5.422
"Axel,Joseph B","Lippincott,Dianna G",4.166
"Axel,Joseph B","Mclaughlin,Claire P",4.166
"Ayer,Steven","Atkinson,Robert Kenneth",5.079
"Ayer,Steven","Ayer,Steven",5.725
